ACC_NUCCORE,CreateDate_NUCCORE,GC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,Length_NUCCORE,Location_BIOSAMPLE,SamplType_BIOSAMPLE,Topology_NUCCORE,loc_lat,loc_lng,loc_parsed,plasmidfinder,pmlst,taxon_class_name,taxon_family_name,taxon_genus_name,taxon_name,taxon_order_name,taxon_phylum_name,taxon_species_name,taxon_superkingdom_name,D1,D2
CP049851.1,2021-08-03,45.22367649931627,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,5119,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),4.130565600000001,-4.853139
CP049850.1,2021-08-03,47.36281299946724,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,5631,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),4.888886,20.058857
CP049849.1,2021-08-03,49.510732323232325,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,6336,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),8.283781,5.733376
CP049848.1,2021-08-03,50.83372269594672,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,68488,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncFII(pSE11)_1, AP009242, ",IncF RST(F35:A-:B-):FIA(-);FIB(-);FIC(-);FII(35);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.7757923000000001,11.236932
CP049847.1,2021-08-03,48.079815945491546,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,90408,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncY_1, K02380, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-5.538648,4.159153
CP049846.1,2021-08-03,52.1209740769835,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,109478,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncB/O/K/Z_1, CU928147, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-3.1940832,12.699794
NZ_CP049855.1,2021-08-05,51.47347740667976,Homo sapiens,bladder epithelial biopsy from 50-year-old female patient with recurrent urinary tract infection,4072,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City",,,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-8.84014,10.491059
NZ_CP049854.1,2021-08-05,47.23850115432428,Homo sapiens,bladder epithelial biopsy from 50-year-old female patient with recurrent urinary tract infection,5631,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),4.901989,20.046522
NZ_CP049853.1,2021-08-05,52.8964529052256,Homo sapiens,bladder epithelial biopsy from 50-year-old female patient with recurrent urinary tract infection,102591,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncQ1_1, M28829, |IncFIA_1, AP001918, ","IncF RST(F-:A-:B-):FIA(1,6);FIB(10?);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)",Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-1.965514,5.8443265
NZ_CP049844.1,2021-08-04,49.83609904381657,Homo sapiens,bladder epithelial biopsy from 60-year-old female patient with recurrent urinary tract infection,88163,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncI1-I(Alpha)_1, AP005147, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-2.5173364,2.7418063
