ACC_NUCCORE	CreateDate_NUCCORE	GC_NUCCORE	Host_BIOSAMPLE	IsolationSource_BIOSAMPLE	Length_NUCCORE	Location_BIOSAMPLE	SamplType_BIOSAMPLE	Topology_NUCCORE	loc_lat	loc_lng	loc_parsed	plasmidfinder	pmlst	taxon_class_name	taxon_family_name	taxon_genus_name	taxon_name	taxon_order_name	taxon_phylum_name	taxon_species_name	taxon_superkingdom_name	D1	D2
CP049851.1	2021-08-03	45.22367649931627	Homo sapiens	bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection	5119	Mexico: Mexico City		circular	19.4326009	-99.1333416	Mexico,Mexico City	ColRNAI_1, DQ298019, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	4.130565600000001	-4.853139
CP049850.1	2021-08-03	47.36281299946724	Homo sapiens	bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection	5631	Mexico: Mexico City		circular	19.4326009	-99.1333416	Mexico,Mexico City	ColRNAI_1, DQ298019, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	4.888886	20.058857
CP049849.1	2021-08-03	49.510732323232325	Homo sapiens	bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection	6336	Mexico: Mexico City		circular	19.4326009	-99.1333416	Mexico,Mexico City	ColRNAI_1, DQ298019, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	8.283781	5.733376
CP049848.1	2021-08-03	50.83372269594672	Homo sapiens	bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection	68488	Mexico: Mexico City		circular	19.4326009	-99.1333416	Mexico,Mexico City	IncFII(pSE11)_1, AP009242, 	IncF RST(F35:A-:B-):FIA(-);FIB(-);FIC(-);FII(35);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.7757923000000001	11.236932000000001
CP049847.1	2021-08-03	48.079815945491546	Homo sapiens	bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection	90408	Mexico: Mexico City		circular	19.4326009	-99.1333416	Mexico,Mexico City	IncY_1, K02380, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-5.538648	4.159153
CP049846.1	2021-08-03	52.1209740769835	Homo sapiens	bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection	109478	Mexico: Mexico City		circular	19.4326009	-99.1333416	Mexico,Mexico City	IncB/O/K/Z_1, CU928147, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-3.1940832	12.699794
AP024479.1	2021-07-16	46.25504947559575	Homo sapiens		80949	Japan		circular	36.5748441	139.2394179	Japan	IncB/O/K/Z_3, GQ259888, |IncFIB(AP001918)_1, AP001918, 	IncF RST(F-:A-:B11):FIA(-);FIB(11);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	-0.48521590000000003	12.002346000000001
AP024477.1	2021-07-16	49.81319626845394	Homo sapiens		88328	Japan		circular	36.5748441	139.2394179	Japan	IncI1-I(Alpha)_1, AP005147, 		Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	7.7056766	8.305383
AP024476.1	2021-07-16	48.305027631756296	Homo sapiens		89028	Japan		circular	36.5748441	139.2394179	Japan	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(-);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.08830157	11.812472
AP024474.1	2021-07-16	48.15764105472073	Homo sapiens		88175	Japan		circular	36.5748441	139.2394179	Japan	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F23:A-:B3):FIA(-);FIB(3);FIC(3?);FII(23);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Proteobacteria (1224)	Escherichia coli (562)	Bacteria (2)	0.08245985	11.815502
