ACC_NUCCORE,CreateDate_NUCCORE,GC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,Length_NUCCORE,Location_BIOSAMPLE,SamplType_BIOSAMPLE,Topology_NUCCORE,loc_lat,loc_lng,loc_parsed,plasmidfinder,pmlst,taxon_class_name,taxon_family_name,taxon_genus_name,taxon_name,taxon_order_name,taxon_phylum_name,taxon_species_name,taxon_superkingdom_name,D1,D2
CP049851.1,2021-08-03,45.22367649931627,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,5119,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),4.130565600000001,-4.853139
CP049850.1,2021-08-03,47.36281299946724,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,5631,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),4.888886,20.058857
CP049849.1,2021-08-03,49.510732323232325,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,6336,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),8.283781,5.733376
CP049848.1,2021-08-03,50.83372269594672,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,68488,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncFII(pSE11)_1, AP009242, ",IncF RST(F35:A-:B-):FIA(-);FIB(-);FIC(-);FII(35);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.7757923000000001,11.236932
CP049847.1,2021-08-03,48.079815945491546,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,90408,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncY_1, K02380, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-5.538648,4.159153
CP049846.1,2021-08-03,52.1209740769835,Homo sapiens,bladder epithelial biopsy from 30-year-old female patient with recurrent urinary tract infection,109478,Mexico: Mexico City,,circular,19.4326009,-99.1333416,"Mexico,Mexico City","IncB/O/K/Z_1, CU928147, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-3.1940832,12.699794
CP072912.1,2021-04-17,51.17250872621798,Homo sapiens,cerebrospinal fluid from newborn infant,122046,,,circular,,,,"Col156_1, NC_009781, |IncFII(29)_1, CP003035, |IncFIB(AP001918)_1, AP001918, ",IncF RST(F29:A-:B10):FIA(-);FIB(10);FIC(-);FII(29);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.55306715,11.955652
CP048874.1,2020-08-10,47.49176835173349,Homo sapiens,urine,5163,USA,,circular,39.7837304,-100.4458825,USA,"Col156_1, NC_009781, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),-4.1666512,-4.522693599999999
CP048872.1,2020-08-10,45.77915777217154,Homo sapiens,urine,5153,USA,,circular,39.7837304,-100.4458825,USA,"ColRNAI_1, DQ298019, ",,Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),9.848275,5.781516000000001
CP048871.1,2020-08-10,51.194375119188784,Homo sapiens,urine,120607,USA,,circular,39.7837304,-100.4458825,USA,"IncFIB(AP001918)_1, AP001918, |Col156_1, NC_009781, |IncFII(29)_1, CP003035, ",IncF RST(F29:A-:B-):FIA(-);FIB(10?);FIC(-);FII(29);FIIK(-);FIIS(-);FIIY(-),Gammaproteobacteria (1236),Enterobacteriaceae (543),Escherichia (561),Escherichia coli,Enterobacterales (91347),Proteobacteria (1224),Escherichia coli (562),Bacteria (2),0.56706893,11.93137
